open,fifty_two_wk_low,fifty_two_wk_hi,volume,avg_volume,market_cap,PE_ratio,EPS_ratio,target
174.12,114.04,182.55,1779190.0,2324304.0,100823000000.0,20.5,8.53,Overvalued
108.17,61.61,115.14,2779390.0,4760728.0,194056000000.0,57.9,1.89,Overvalued
