Symbol,open,52_wk_low,52_wk_hi,volume,avg_volume,market_cap,PE_ratio,EPS_ratio,target
ATVI,91.89,50.51,104.53,3280695.0,5874988.0,72079000000.0,32.99,2.82,Undervalued
ADBE,443.45,255.13,536.88,2183051.0,2652949.0,212965000000.0,41.02,10.83,Undervalued
AMD,79.73,36.75,99.23,32937950.0,43387604.0,98177000000.0,39.27,2.06,Undervalued
ALXN,150.7,72.67,162.6,1665895.0,3406114.0,33327000000.0,55.73,2.72,Undervalued
ALGN,538.65,127.88,634.46,428365.0,579244.0,42450000000.0,23.94,22.41,Undervalued
GOOGL,2076.41,1008.87,2145.14,1690899.0,1796749.0,1386000000000.0,34.98,58.61,Overvalued
GOOG,2085.0,1013.54,2152.68,1658179.0,1603418.0,1386000000000.0,35.18,58.61,Overvalued
AMZN,3075.0,1626.03,3552.25,2421888.0,3737693.0,1556000000000.0,73.86,41.83,Undervalued
AEP,80.42,65.14,95.77,2637880.0,3134596.0,40249000000.0,18.33,4.42,Overvalued
AMGN,230.24,177.05,276.69,1635860.0,2553244.0,133048000000.0,18.71,12.31,Undervalued
