Symbol,open,52_wk_low,52_wk_hi,volume,avg_volume,market_cap,PE_ratio,EPS_ratio,target
ATVI,92.87,50.51,104.53,3136628.0,5846123.0,71723000000.0,32.83,2.82,N/A
ADBE,444.4,255.13,536.88,2508699.0,2632633.0,214542000000.0,41.33,10.83,N/A
AMD,81.91,36.75,99.23,38855543.0,43073091.0,99934000000.0,39.97,2.06,N/A
ALXN,151.59,75.57,162.6,2367278.0,3017306.0,33456000000.000004,55.95,2.72,N/A
ALGN,551.09,127.88,634.46,733629.0,585757.0,44223000000.0,24.94,22.41,N/A
GOOGL,2044.97,1008.87,2145.14,1310741.0,1811540.0,1389000000000.0,35.05,58.61,N/A
GOOG,2062.3,1013.54,2152.68,1298325.0,1605525.0,1389000000000.0,35.26,58.61,N/A
AMZN,3074.57,1689.24,3552.25,2918592.0,3737623.0,1552000000000.0,73.67,41.83,N/A
AEP,81.06,65.14,95.77,3209478.0,3153498.0,40865000000.0,18.62,4.42,N/A
AMGN,230.0,177.05,276.69,2911063.0,2547061.0,136282000000.00002,19.17,12.31,N/A
ADI,149.62,79.08,164.4,2113191.0,2884023.0,55703000000.0,40.04,3.77,N/A
ANSS,314.77,203.71,413.19,465030.0,492367.0,28256000000.0,65.54,4.97,N/A
AAPL,121.41,53.15,145.09,92590555.0,111527549.0,2081999999999.9998,33.63,3.69,N/A
AMAT,114.63,36.64,124.5,7068801.0,8048854.0,105421000000.0,27.48,4.18,N/A
ASML,538.67,191.25,608.71,581704.0,837615.0,226955000000.0,78.63,6.96,N/A
TEAM,228.15,111.91,262.4,1088384.0,1457889.0,59170000000.0,,-4.8,N/A
ADSK,267.98,125.38,321.13,860750.0,1438023.0,60034000000.0,50.19,5.44,N/A
ADP,182.77,103.11,189.32,2787607.0,1838362.0,80915000000.0,32.77,5.77,N/A
BIDU,262.97,82.0,354.82,6934344.0,11445510.0,89377000000.0,20.69,12.83,N/A
BIIB,268.02,223.25,363.92,2830150.0,1310189.0,39627000000.0,10.49,24.8,N/A
BKNG,2412.76,1107.29,2450.26,468737.0,383872.0,99926000000.0,1694.1,1.44,N/A
AVGO,455.18,155.67,495.14,3129937.0,1879574.0,192181000000.0,54.44,8.65,N/A
CDNS,125.62,51.39,149.08,1240679.0,1762684.0,36096000000.0,61.32,2.11,N/A
CDW,159.69,73.39,162.73,504504.0,858371.0,22738000000.0,29.59,5.45,N/A
CERN,71.65,53.08,84.2,3347457.0,2270937.0,22170000000.0,28.72,2.52,N/A
CHTR,624.42,345.67,681.71,1149366.0,1223706.0,121082000000.0,40.58,15.4,N/A
CHKP,115.46,83.72,139.26,567727.0,1506738.0,16462000000.0,19.7,5.96,N/A
CTAS,358.0,154.33,369.2,526570.0,488586.0,36929000000.0,39.44,8.91,N/A
CSCO,48.9,33.31,49.44,15503445.0,20401886.0,208599000000.0,20.67,2.39,N/A
CTSH,77.28,40.01,82.73,2994970.0,2883003.0,42062000000.0,30.84,2.57,N/A
CMCSA,57.23,31.71,57.7,14733530.0,18109523.0,263524999999.99997,25.23,2.28,N/A
CPRT,109.87,55.69,130.96,585106.0,1199288.0,26193000000.0,37.56,2.95,N/A
COST,333.6,278.42,393.15,3244291.0,2885084.0,146262000000.0,33.8,9.78,N/A
CSX,93.65,46.81,97.54,2715013.0,3749886.0,71279000000.0,25.97,3.6,N/A
DXCM,353.76,182.07,456.23,821818.0,863850.0,34809000000.0,71.53,5.06,N/A
DOCU,209.76,65.61,290.23,3894984.0,3371032.0,42092000000.0,,-1.31,N/A
DLTR,108.56,60.2,115.45,1578225.0,1978010.0,25706000000.0,19.35,5.65,N/A
EBAY,55.85,26.02,64.85,5807613.0,7857255.0,39241000000.0,7.31,7.89,N/A
EA,130.44,85.92,150.3,2181703.0,2867627.0,37647000000.0,32.36,4.05,N/A
EXC,42.87,29.28,46.02,4994542.0,5108091.0,42334000000.0,21.57,2.01,N/A
FB,269.08,137.1,304.67,16856746.0,19605764.0,779550000000.0,27.13,10.09,N/A
FAST,47.58,26.72,51.89,4133295.0,3191274.0,27643000000.0,32.3,1.49,N/A
FISV,124.2,73.5,126.25,2758169.0,4652594.0,83013000000.0,88.57,1.4,N/A
FOXA,43.0,19.81,43.72,3765430.0,5756103.0,24505000000.0,16.9,2.53,N/A
FOX,40.35,19.13,40.88,55070.0,1754894.0,24613000000.0,15.87,2.53,N/A
GILD,62.35,56.56,85.97,160386.0,9306288.0,79517000000.0,645.71,0.1,N/A
IDXX,499.89,168.65,573.99,10020.0,451849.0,44377000000.0,77.42,6.71,N/A
ILMN,404.31,196.78,555.77,24554.0,1106818.0,61873000000.0,95.3,4.45,N/A
INCY,79.49,62.48,110.37,28878.0,1239584.0,17788000000.0,,-1.36,N/A
INTC,63.61,43.61,65.11,1443476.0,38103886.0,262389000000.0,13.07,4.94,N/A
INTU,393.37,187.68,423.74,27389.0,1378474.0,109437000000.0,60.99,6.55,N/A
ISRG,727.32,360.5,826.81,9643.0,600962.0,87569000000.0,83.87,8.82,N/A
JD,83.59,35.55,108.29,815059.0,11178125.0,138906000000.0,576.73,0.15,N/A
KDP,33.83,18.98,34.05,74553.0,4677428.0,47608000000.0,36.38,0.93,N/A
KLAC,293.47,110.19,342.21,66479.0,1214000.0,46481000000.0,34.51,8.74,N/A
KHC,38.12,20.67,39.71,169153.0,7205843.0,47215000000.0,133.1,0.29,N/A
LRCX,521.6,181.38,603.6,65416.0,1606355.0,77989000000.0,27.1,20.14,N/A
LULU,315.55,128.85,399.9,35211.0,1491368.0,40933000000.0,73.7,4.26,N/A
MAR,153.56,46.56,159.98,110541.0,2567243.0,49687000000.0,,-0.82,N/A
MRVL,48.73,16.45,55.7,515088.0,10851496.0,33040999999.999996,,-0.41,N/A
MTCH,155.72,35.58,174.68,50007.0,2849551.0,41755000000.0,318.11,0.49,N/A
MXIM,89.91,41.93,98.44,79435.0,1994446.0,24140000000.0,33.58,2.68,N/A
MELI,1600.8,422.22,2020.0,57125.0,589206.0,79836000000.0,,-0.08,N/A
MCHP,150.78,53.15,166.67,78203.0,2174078.0,40834000000.0,120.55,1.26,N/A
MU,90.75,31.13,95.75,4044283.0,18569820.0,104459000000.0,35.22,2.65,N/A
MSFT,236.28,132.52,246.13,2147296.0,29676511.0,1789000000000.0,35.36,6.71,N/A
MRNA,148.5,24.36,189.26,2358746.0,15882886.0,60429000000.0,,-1.96,N/A
MDLZ,57.28,41.19,60.0,442838.0,7573283.0,82602000000.0,23.34,2.47,N/A
MNST,90.05,50.06,95.11,110234.0,2032903.0,47649000000.0,34.17,2.64,N/A
NTES,107.9,53.17,134.33,193508.0,2601290.0,74714000000.0,16.35,6.67,N/A
NFLX,524.47,290.25,593.29,518665.0,4695676.0,234314000000.0,87.06,6.08,N/A
NVDA,534.26,180.68,614.9,1231863.0,8130276.0,332504000000.0,77.72,6.9,N/A
NXPI,201.1,58.41,204.7,720429.0,2840191.0,56233000000.0,1127.78,0.18,N/A
ORLY,484.2,251.52,496.61,19287.0,646591.0,33920000000.0,20.53,23.53,N/A
OKTA,230.99,96.27,294.0,155767.0,1714748.0,30272000000.0,,-2.09,N/A
PCAR,99.0,49.11,103.19,62965.0,1874075.0,34159000000.0,26.33,3.74,N/A
PAYX,97.88,47.87,99.95,100354.0,1838826.0,35508000000.0,33.6,2.93,N/A
PYPL,253.42,82.07,309.14,957924.0,9747663.0,296027000000.0,71.4,3.54,N/A
PTON,113.61,21.78,171.09,646528.0,9186800.0,32893000000.0,,-2.11,N/A
PEP,133.56,101.42,148.77,354241.0,5096722.0,183530000000.0,25.98,5.12,Overvalued
PDD,166.8,31.0,212.6,1699120.0,7947288.0,198150000000.0,,-2.09,N/A
QCOM,132.89,58.0,167.94,1761114.0,9976965.0,152485000000.0,22.95,5.85,N/A
REGN,485.0,424.01,664.64,84918.0,1012760.0,52037000000.0,15.92,30.52,N/A
ROST,124.2,56.3,127.08,162254.0,2061320.0,43913000000.0,513.29,0.24,N/A
SGEN,152.45,91.75,213.94,44364.0,1168198.0,27477000000.0,45.01,3.37,N/A
SIRI,6.28,4.11,8.14,4037858.0,29296653.0,26392000000.0,212.5,0.03,N/A
SWKS,180.95,69.31,195.82,231812.0,2395623.0,30027000000.0,28.78,6.33,N/A
SPLK,,,,,,,,,N/A
SBUX,110.57,50.02,111.53,2993735.0,5960563.0,130857000000.0,195.69,0.57,N/A
SNPS,239.75,104.9,300.91,85092.0,894356.0,36393000000.0,51.64,4.62,N/A
TMUS,125.8,63.5,135.54,634208.0,4641753.0,156717000000.0,47.64,2.65,N/A
TSLA,703.35,70.1,900.4,4726542.0,39599031.0,669157000000.0,1089.29,0.64,N/A
TXN,176.25,94.15,181.8,445678.0,4560310.0,163899000000.0,29.75,5.97,N/A
TCOM,44.19,20.1,44.66,392128.0,4662953.0,26356000000.0,,,N/A
VRSN,192.2,148.77,221.3,50871.0,625280.0,21853000000.0,27.33,7.07,N/A
VRSK,177.52,116.61,210.66,103641.0,1034993.0,28462000000.0,40.57,4.31,N/A
